Comment,Class
재벌해체가 답리다 한화 저새끼 표정개띠껍네 ㅋ  — ㄹㅇ+,1
좆도 아닌데 억까 왜 올라오나 했더만섹스톤 왕따라서 그런거노 ㅋㅋㅋㅋㅋㅋ,1
깡패 검사출신 나부랭이 침까지 먹어야하노 ㅅㅂ ㅋㅋㅋ,1
역시 문재인 정권 검찰총장시절 대기업 총수들 다 쳐넣은 장본인답네 ㅋㅋㅋ,1
기본 교양이 없노... 괜히 국제 외교관계 씹창나고 있는게 아닌듯  - dc App,1
두창이 임기끝나자마자 해외로 런쳐야겠네,1
역시 재벌교육은 대석열 ㅋㅋ,0
동관게이야 ㅋㅋ,1
영포티 재벌 표정 썩는거보니까 나름 괜찮노 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
윤완용ㅋㅋㅋㅋㅋㅋㅋㅋ,0
그와중에 쁘띠재용 커엽네 ㅋㅋㅋㅋㅋㅋ,0
먹던 젖가락 아님 새거임,1
그게 다 정이다 임마;;,0
ㅋㅋㅋㅋㅋㅋ이재용은 일단 잘맞쳐줄려고하는데 나머지가 표정관리를 못하네 ㅋㅋㅋㅋ,0
ㅋㅋ,0
불과 10년 전만해도 밥상 가운데 찌개 놓고 숫가락으로 퍼가면서 먹었다. 그래서 죽었냐? 오히려 그때까 훨씬 정있고 건강했다,0
윤두창 ㅋㅋㅋㅋㅋ진짜 ㄹㅈㄷ다 ㅋㅋㅋㅋ위생관념도 없네하긴 돌대가리라 9수 쳐했겠지 ㅋㅋㅋㅋ,1
느금마 보지보다 깨끗함 병신아,1
윤 두 광,0
나도 뽑긴했지만 진짜 볼수록 존나 한심하긴하다ㅋㅋㅋㅋㅋㅋ,1
지랄하네 전라도 새끼가 참 봅았겠다 병신아,1
뭔씨발 논란거리가 얼마나 없으면ㅋㅋㅋㅋㅋ,1
수많은 논란거리 중 하나일뿐인데 ㅋㅋㅋ,0
대 두 창,1
느금마 보지,1
ㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋ,1
ㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새끼들 진짜 ㅋㅋㅋㅋㅋㅋ별게 다 논란거리네 씨발 좌빨 단톡방 씹새,1
이건 개좆간지 인정. 재벌도 개좆으로보네,1
야야 1절만 해라,0
ㅋ,0
ㅎㅎㅋ,0
쵸마마 쵸마마마,0
너무 억까 ㅁㅈㅎ,0
-틀-,1
형 여기에 개추박으면 되는거지?,0
진짜 대한민국 틀딱들 식습관 어떻게 안되냐?? 시발 회사에서 밥처먹을때 저런새끼들이 한트럭임 노가다꾼들도 아니고 나름 대학까지 나온새끼들도 다 저지랄로 밥처먹더라,1
캬 재벌 기득권 참교육  인간 알빠노 참교육 왕 대석열 ㅋㅋㅋ,0
엄청난 권력이네그래서 손바닥에 글씨를...,0
이새끼 의주빈 까면서 두창이 빨더니 뭐하노 ㅋㅋㅋㅋ,1
와 진짜검찰출신이라 존나 다르긴다르구나 존나 대통령뽑길잘했네대선 때 윤석열 뽑은 건 진짜 자랑스럽다,1
윤통도 틀딲이라 어쩔수없노,1
재매이햄이였으면 손으로 찢어서 줬을텐데 ㅋㅋ,1
찢어서주는게 침묻히는것보다 나은데 두창견새끼야 ㅋㅋㅋ,1
ㄴ 에미뒤진 찢갈이새끼 부들거리노 ㅋㅋㅋ,1
ㄴㄴ ㅂㅈ 찢느라 피 묻었을텐데 그것보단 낫지 ㅋ,1
한화 부회장은 ㄹㅇ 표정이 다 보이네 ㅅㅂ ㅋㅋㅋㅋㅋ,1
먹는거에 되게 열정적이네 ㅋㅋㅋ,0
재용이햄이 권력에 많이 당해봐서 그런가 잘수그리네,0
재용이햄 깜방 가기싫어서 두창이한테 빌빌거리는거봐라 ㅋㅋㅋ,1
응 ~~윤카 침이면 포상인데 좌빨새끼들아,1
